type,start,end,_end,title,description,category,project,keyword
Cinema,1931-10-21,1931-11-00,,Upton Sinclair demands a final production plan from Sergei Eisenstein for the remaining weeks in Mexico with the threat to stop the money transfers otherwise.,"Grigoriy Aleksandrov recovered. Upton Sinclair tells Sergei Eisenstein about the contract with Amkino. He demands a final production plan with the threat to stop money transfers. Kimborough sends this production plan drawn up by Aleksandrov and Sergei Eisenstein, according to which about 120 days of shooting and about 35,000 dollars are still needed. Hunter Kimborough reports an improvement in his relationship with Sergei Eisenstein, but: ""He is like a Negro. Nice words and consideration do not help.""",Cinema and Theatre,¡Que viva México!,¡Que viva México!
Cinema,1931-10-23,,,Upton Sinclair again threatens Sergei Eisenstein to suspend payments.,Upton Sinclair again threatens Sergei Eisenstein to suspend payments until he receives a response to his October 5 letter. Stops shipments of raw film; hints Hunter Kimborough at the possibility of having Sergei Eisensteins entry permit to the U.S. revoked. ,Cinema and Theatre,¡Que viva México!,Upton Sinclair;Hunter S. Kimborough;¡Que viva México!
Cinema,1931-10-23,,1931-10-24,"Sergei Eisenstein asks for another 17,000 dollars to complete the Mexico film without elaborated music.","Sergei Eisenstein explains his silence with the stay in Colina. Makes the suggestion to complete the shooting according to his plan and to do without elaborated music instead of delivering a half finished  film. Demands another  17,000 dollars for the completion of the film - with extreme thriftiness. He explains to Upon Sinclair the production process of a film. ",Cinema and Theatre,¡Que viva México!,Upton Sinclair;¡Que viva México!
Cinema,1931-10-25,,,Upton Sinclair writes a letter to Lev Monosson with a new financial calculation based on the new production plan of Sergei Eisenstein.,"In a letter to Monosson, Sinclair suggests that, based on the new production schedule, $15,000 of Amkinos investment be spent on filming and $10,000 on editing. ",Cinema and Theatre,¡Que viva México!,Upton Sinclair;Monosson;¡Que viva México!
Cinema,1931-10-27,,,Upton Sinclair signs a contract with MGM for the filming of Wet Parade. ,Upton Sinclair signs contract with MGM about a payment of 18000 dollars for the filming of Wet Parade.,Cinema and Theatre,¡Que viva México!,The Wet Parade;Upton Sinclair;Metro-Goldwyn-Mayer;¡Que viva México!
Cinema,1931-10-28,,,Upton Sinclair  assures  Sergei Eisenstein  that  he is trying to raise new money and tells him to focus on the most essential recordings.,"Upton Sinclair  assures  Sergei Eisenstein  that  he is trying to  raise  new money. In the meantime, he should confine himself to the most essential shots.",Cinema and Theatre,¡Que viva México!,Upton Sinclair;¡Que viva México!
Cinema,1931-11-00,,,Lev Monosson is called back to Moscow and is replaced by V. F. Smirnov.,Lev Monosson is called back to Moscow. V. F. Smirnov takes his place.,Cinema and Theatre,¡Que viva México!,Monosson;V. F. Smirnov;¡Que viva México!
Cinema,1931-11-02,,,Filming for the epilogue at the celebrations of the Day of the Dead in Mexico.,"Filming for the epilogue at the celebrations of the Day of the Dead. ""On  this  day [...]  everything  is  decorated  with the  symbols  of death, especially with skulls [...] And then the masks! Who would not put on the cardboard mask of death on this day? Who would not dance, the laughing face hidden behind the mask? [...] All of them - the good as well as the bad, the exploited as well as the exploiters, the bearers of life as well as the knights of death - they are all equal in this carnival hustle and bustle, they all hide behind the white, teeth breaking cardboard mask of the skull. But in the moment when the whirl reaches its climax, it suddenly breaks off: the masks are torn off, one  after the  other the  heads  of the  peons,  the  matadors,  the workers [...] exuberant life radiates from the coal black eyes... With a quick movement of the hand also [the masks of all those who in our film have played a negative role] are pulled down ...But these are not just the carnival masks made of cardboard, this is much more! Other masks fall with them, because under [their] cardboard masks are not the faces of living people, but ... real skulls.  [...]  These  are  corpses. The common  corpse  of  the socially doomed class.""",Cinema and Theatre,¡Que viva México!,Day of the Dead;¡Que viva México!
Cinema,1931-11-03,,,Amkino decalres its final investment amount for the rest of the filming in Mexico.,Amkino declares in a final agreement to provide 5000 of the 25 000 dollars for the shooting in Mexico.,Cinema and Theatre,¡Que viva México!,Amkino;¡Que viva México!
Cinema,1931-11-11,,,Hunter Kimborough advises Upton Sinclair not to show Adolph Zukor shots from ¡Que viva México!,Hunter Kimborough  advises Upton Sinclair not to show Adolph Zukor the uncut material. It is better to wait for the outcome of his (Kimboroughs) negotiations with the Paramount New York office.,Cinema and Theatre,¡Que viva México!,Hunter S. Kimborough;Upton Sinclair;A. Zukor;¡Que viva México!
Cinema,1931-11-13,,,"Upton Sinclair tells Sergei Eisenstein he has not been able to find more donors, instructs him on ways to work with limited finances. ",Upton Sinclair tells Sergei Eisenstein that he has not been able to find more donors. For the shooting he still had 6000 dollars at his disposal. Sergei Eisenstein should finish the episodes he started and drop the Soldadera part.,Cinema and Theatre,¡Que viva México!,Soldadera;Upton Sinclair;¡Que viva México!
Cinema,1931-11-13,,,Sergei Eisenstein makes serious accusations against Hunter Kimborough.,"Sergei Eisenstein makes serious accusations against Hunter Kimborough. He is said to be drunk most of the time and roams brothels  and  casinos. Communication  with  him  was  only possible through Grigoriy Aleksandrov. Is outraged by a  resentation of scenes he has not yet seen and an article by Edmund Wilson in the New Republic.  He agrees with Paramount as a negotiating partner,  but  MGM  should  only  be  contacted  in  an  extreme emergency.  ",Cinema and Theatre,¡Que viva México!,Hunter S. Kimborough;Edmund Wilson;New Republic;Grigori Aleksandrov;Metro-Goldwyn-Mayer;¡Que viva México!
Biography,1931-11-15,,,Sergei Eisenstein films the president of Mexico with official order while Hunter Kimborough complains about him to Upton Sinclair. ,"Sergei Eisenstein films the president of Mexico with official order. Kimborough to Sinclair: Sergei Eisenstein ""is terribly obstinate and does only what he wants to do, only to make his greatest film, without regard for the wishes of the financiers."" He tells of plans to make his own film with Eduard Tissé in Louisiana and Mexico.",Biography and Personality;Cinema and Theatre,¡Que viva México!,Hunter S. Kimborough;Upton Sinclair;Eduard Tissé;¡Que viva México!
Cinema,1931-11-16,,,Upton Sinclair tells Sergei Eisenstein about the importance of press screenings to raise funds. Reports of further contacts with Metro-Goldwyn-Mayer.,Sinclair tells Sergei Eisenstein that the press screenings are necessary to raise funds and reports of further contacts with MGM. ,Cinema and Theatre,¡Que viva México!,Metro-Goldwyn-Mayer;Upton Sinclair;¡Que viva México!
Biography,1931-11-19,1932-00-00,,Censorship problems with the Mexican Consulate in Los Angeles.,Censorship problems with the Mexican Consulate in Los Angeles. ,Biography and Personality,¡Que viva México!,Censorship;¡Que viva México!!
Biography,1931-11-21,,,Sergei Eisenstien writes to  Upton Sinclair  that  the  Mexican  consulate should  not  exercise  censorship. Joseph Stalin writes to Sinclair that Eisenstein has lost the trust of the people in the Soviet Union.,"Sergei Eisenstein  writes  Upton Sinclair that the Mexican consulate should not exercise censorship and blames Kimborough for the problem. Joseph Stalins telegram to Sinclair: ""Sergei Eisenstein has lost the trust of his comrades in the Soviet Union Stop He is considered a deserter who has broken with his country Stop Fear that our people may soon have no interest in him"". ",Biography and Personality,¡Que viva México!!,Censorship;Upton Sinclair;Stalin;¡Que viva México!
Biography,1931-11-22,,,Upton Sinclair defends Sergei Eisenstein against Joseph Stalins accusations.,"Upton Sinclair to Joseph Stalin: Sergei Eisenstein could easily have had the opportunity  to  break  away  from  Moscow  during  his  stay  in America. Instead, he had always been loyal to the Soviet Union and had been attacked for that reason. His long stay in Mexico was not his fault; it was certain that Sergei Eisenstein would return to the USSR when the film was finished.",Biography and Personality,,Upton Sinclair;Stalin
Cinema,1931-11-22,,,Sergei Eisenstein writes to Upton Sinclair again about his reservations about showing unedited footage.,Sergei Eisenstein  writes to Upton Sinclair again about his reservations  about showing  unedited  footage.  This  is  the  best way  to  destroy  interest  in  the  film.  The  relationship with Hunter Kimborough was deteriorating more and more. Eisenstein asks Sinclair to be allowed to start shooting the Soldadera episode.,Cinema and Theatre,¡Que viva México!,Soldadera;Upton Sinclair;¡Que viva México!;Hunter S. Kimborough
Cinema,1931-11-23,,,Upton Sinclair breaks off negotiations with MGM.,Upton Sinclair breaks off negotiations with MGM.,Cinema and Theatre,¡Que viva México!,Metro-Goldwyn-Mayer;Upton Sinclair;¡Que viva México!
Biography,1931-11-23,,,Upton Sinclair suggests that Sergei Eisenstein himself negotiates with Amkino for funding.,Upton Sinclair suggests that Sergei Eisenstein himself negotiate with Amkino for more funding for the shooting. Suggests that he first finish the episodes he has begun and then start the Soldadera episode.,Biography and Personality,¡Que viva México!,Amkino;Soldadera;Upton Sinclair;¡Que viva México!
Cinema,1931-11-24,,,Tension between Sergei Eisenstein and Hunter Kimborough over shooting delays. ,"Sergei Eisenstein accuses Hunter Kimborough of not preparing the shooting properly, so that there must be considerable delays. Reports Upton Sinclair of Kimboroughs excesses.",Cinema and Theatre,¡Que viva México!,Upton Sinclair;Hunter S. Kimborough;¡Que viva México!
Biography,1931-11-25,,,Sergei Eisenstein asks Upton Sinclair for details of the contract with Amkino.,Sergei Eisenstein asks Upton Sinclair  for  details  of  the  contract with Amkino; he points out again that the unedited footage distorts the film and stresses the need for the Soldadera episode.,Biography and Personality,¡Que viva México!,Amkino;Soldadera;Upton Sinclair;¡Que viva México!
Biography,1931-11-27,,,Victor F. Smirnov says will clarify the rumors about Sergei Eisenstein in the USSR after he justifies his stay in Mexico.,Victor F. Smirnov assures Upton Sinclair that he will clarify the rumors about Sergei Eisenstein in the USSR as soon as Sergei Eisenstein personally justifies the extension of his stay in Mexico. ,Biography and Personality,¡Que viva México!,Smirnov;Upton Sinclair;¡Que viva México!
Biography,1931-11-24,,,Shooting for a film commissioned by the ruling party,Shooting for a film commissioned by the ruling party.,Biography and Personality,,film shooting
Biography,1931-11-31,,,Upton Sinclair negotiates finances with producer Goldstone.,"Upton Sinclair negotiates  a  $10,000  investment with producer Goldstone.",Biography and Personality,¡Que viva México!,Upton Sinclair;Goldstone;¡Que viva México!
Cinema,1931-12-02,1932-01-20,,Upton Siclair stopps negotiations with Goldstone.,Upton Sinclair breaks off negotiations with Goldstone over excessive interest demands. He takes over his wifes shares in the Mexican Picture Trust.,Cinema and Theatre,,
Cinema,1931-12-03,1932-01-20,,Upton Sinclair calls on Hunter Kimborough to come to Pasadena for an interim report.,Upton Sinclair calls on Hunter Kimborough to come to Pasadena for an interim report after the shootings for the Mexican president. He sends a report from the New York Times about the filming in Mexico to Joseph Stalin.,Cinema and Theatre,,
