type,idx,date,,year,info,hover,category,project,keyword,first,number,number1
Cinema,499,1931-09-10,,1931,Coordinates about Mexcio film finances Amkino ,"Monosson  informs  Sinclair  of  the  conditions under  which  Amkino  will  invest  $25,000  in  the  film.  Writes about Sinclairs August 28 proposal: ""As far as I know, such a  procedure is only undertaken by unreliable and irresponsible so-called independent producers who dont give a damn about the directors name and artistic reputation [...] One of the conditions for Amkinos involvement is that the amount of work still to be done  on  the  film  is  identified  and  precisely  and  definitively determined, as well as the maximum amount of time for editing and dubbing in Hollywood."" Sinclair sends Monosson a form of the articles of association of the Mexican Picture Trust",Cinema and Theatre,Que viva Mexico!,Monosson;Amkino;Que viva Mexico!,,1,20
Biography,500,1931-09-11,,1931,Mexcio Film group returns to Tetlapayac,Eisensteins  group  returns to Tetlapayac. ,Biography and Personality,Que viva Mexico!,Travels;Que viva Mexico!,,20,20
Cinema,501,1931-09-11,,1931,Upotn Sinclair withdraws his proposal to have two films made and ask for a time schedule for Que viva Mexico!,"Sinclair  withdraws  his  proposal  to  have  two films  made.  Writes  Eisenstein  that Carl Laemmle of Universal has already seen parts of the positive material and is only interested in  the finished  film. Asked, ""How  many  feet  of film  do  you definitely plan to shoot?""  Asks for a time schedule.  ",Cinema and Theatre,Que viva Mexico!,Carl Laemmle;Que viva Mexico!,,1,20
Biography,502,1931-09-12,,1931,Mary  Craig  Sinclair  lies  in  bed  with symptoms of poisoning,"Mary  Craig  Sinclair  lies  in  bed  with symptoms of poisoning. (D75, P. 145)",Biography and Personality,,Upton Sinclair,,20,20
Biography,503,1931-09-00,,1931,Sinclairs nervous breakdown,"Sinclairs  nervous  breakdown.    Hospitalization until September 28.    (D75, P. 145)",Biography and Personality,,Upton Sinclair;Hunter S. Kimborough,,20,20
Cinema,504,1931-09-00,,1931,Kimborough  to  Sinclair,"""Kimborough  to  Sinclair:  """"Eisenstein  will  continue  to shoot about 15 240 meters of film.  This will take about two, possibly three months.   (D75, P. 146)""",Cinema and Theatre,,Upton Sinclair,,1,20
Cinema,505,1931-09-30,,1931,meets the President of Mexico. Interruption  of  the  shooting  due  to  bad  weather. ,Eisensteins meeting with the President of Mexico. Interruption  of  the  shooting  due  to  bad  weather. ,Cinema and Theatre,Que viva Mexico!,Filming Interruptions;Que viva Mexico!,,1,20
Cinema,506,1931-10-01,,1931,Travels with Tissé and the Mexican painter Montenegroto the Pacific coast (Colina) for shooting,"Eisenstein, Tissé and the Mexican painter Montenegro travel to the Pacific coast (Colina) for shooting. ",Cinema and Theatre,Que viva Mexico!,Eduard Tissé;Montenegro;Que viva Mexico!,,1,20
Cinema,507,1931-10-01,,1931,Upton Sinclair expresses his doubts about needing additions finances to Kimborough,"Kimborough to Sinclair: ""I think they can complete the work in less than the 120 days they estimated and dont need all the money.",Cinema and Theatre,Que viva Mexico!,Hunter S. Kimborough;Upton Sinclair;Que viva Mexico!,,1,20
Cinema,508,1931-10-02,,1931,Expresses his concern to Upton Sinclair about Metro-Goldwyn-Mayer shootinfg in Mexico,Eisenstein sends Sinclair a new exposé and complains that MGM has started shooting in Mexico. MGM obviously got the idea through negotiations with Sinclair. ,Cinema and Theatre,Que viva Mexico!,Metro-Goldwyn-Mayer;Que viva Mexico!,,1,20
Cinema,509,1931-10-05,,1931,Coordination between Upton Sinclair and Eisenstein about filming and budget of Que viva Mexico!,"Sinclair writes Eisenstein that he told MGM no more than what anyone could read in the newspapers. Eisenstein had to work faster so he could finish first. Grants Eisenstein a maximum of another 9,000 meters  of  footage  and  $10,000,  ""provided  you give me your word to come back to America with that amount. ",Cinema and Theatre,Que viva Mexico!,Metro-Goldwyn-Mayer;Que viva Mexico!,,1,20
Cinema,510,1931-10-00,,1931,Sinclair shows Eisenstein Wilson parts of the uncut film,Sinclair shows Eisenstein Wilson parts of the uncut film.,Cinema and Theatre,Que viva Mexico!,Upton Sinclair;Que viva Mexico!,,1,20
Cinema,511,1931-10-09,,1931,Kimborough makes serious accusations against Eisenstein,"Kimborough  makes  serious  accusations against Eisenstein because of his long stay in Colina: ""One simply cannot believe his words [...] He will never finish the film and will always put us off if we continue to flatter him as an artist and treat him like a god.”",Cinema and Theatre,Que viva Mexico!,Hunter S. Kimborough;Que viva Mexico!,,1,20
Cinema,512,1931-10-15,,1931,Sinclair  sends  Monosson  a  statement  of investments and expenditures,"""Sinclair  sends  Monosson  a  statement  of investments and expenditures. According to this, 43,000 of the 50,000 dollars have been spent so far. Repeats, in a toned-down form, Kimboroughs accusations against Eisenstein and mentions that Eisenstein had not given a contractual guarantee for the montage. Asked to be allowed to use part of the money promised by Amkino for the stay in Mexico, otherwise he would have to call Eisenstein back shortly. (D75, p. 155ff.)""",Cinema and Theatre,Que viva Mexico!,Upton Sinclair,,1,20
Biography,513,1931-10-16,,1931,Returns from Colina,Eisenstein returns from Colina. ,Biography and Personality,Que viva Mexico!,Travels;Que viva Mexico!,,20,20
Cinema,514,1931-10-16,,1931,Upton Sinclair and Monosson negotiate finances of Que viva Mexico!. Sinclair air out grievience about Eisensteins behavious towards him  ,"Sinclair and Monosson exchange of letters with the agreement that $5,000 of the Amkino investment will be used for  filming,  the  rest  of  $20,000  for  dubbing  and  editing  in Hollywood.  Monosson  defends  Eisenstein  against  Kimboroughs accusations and advises Sinclair to go to Mexico himself. In his response, Sinclair points out his ill health and complains that Eisenstein ignores his questions and concerns. ",Cinema and Theatre,Que viva Mexico!,Upton Sinclair;Monosson;Que viva Mexico!;Hunter S. Kimborough,,1,20
Biography,515,1931-10-22,,1931,Travels back to Mexico City,Eisenstein back in Mexico City. ,Biography and Personality,Que viva Mexico!,Travels;Que viva Mexico!,,20,20
Cinema,516,1931-10-00,,1931,Upton Sinclair and Eisenstein discuss contract with Amkino and the corresponding finances for Mexico film,"""Aleksandrov recovered. Sinclair tells Eisenstein about the contract with Amkino. Demands a final production plan with the threat to stop money transfers. Kimborough sends this production plan drawn up by Aleksandrov and Eisenstein, according to which about 120 days of shooting and about 35,000 dollars are still needed. Kimborough reports an improvement in his relationship with Eisenstein, but: """"He is like a Negro. Nice words and consideration do not help."""" (D75, P. XVII, 174-182)""",Cinema and Theatre,Que viva Mexico!,Que viva Mexico!,,1,20
Cinema,517,1931-10-23,,1931,Upton Sinclair again threatens Eisenstein to suspend payments,Sinclair again threatens Eisenstein to suspend payments until he receives a response to his October 5 letter. Stops shipments of raw film; hints Kimborough at the possibility of having Eisensteins entry permit to the U.S. revoked. ,Cinema and Theatre,Que viva Mexico!,Upton Sinclair;Hunter S. Kimborough;Que viva Mexico!,,1,20
Cinema,518,1931-10-23,,1931,Eisenstein tries to negotiate fianances of Que viva Mexico! with Upton Sinclair ,"Eisenstein explains his silence with the stay in Colina. Makes the suggestion to complete the shooting according to his plan and to do without elaborated music instead of delivering a half finished  film.  Demands  another  17,000  dollars  for  the completion  of  the  film -with  extreme  thriftiness. Explains to Sinclair the production process of a film. ",Cinema and Theatre,Que viva Mexico!,Upton Sinclair;Que viva Mexico!,,1,20
Cinema,519,1931-10-25,,1931,Upton Sinclair writes to Monosson about the budget of Que viva Mexico!,"In a letter to Monosson, Sinclair suggests that, based on the new production schedule, $15,000 of Amkinos investment be spent on filming and $10,000 on editing. ",Cinema and Theatre,Que viva Mexico!,Upton Sinclair;Monosson;Que viva Mexico!,,1,20
Cinema,520,1931-10-27,,1931,Upton Sinclair signs contract with MGM for the filming of the Wet Parade. ,"Sinclair signs contract with MGM about a payment of 18000 dollars for the filming of the Wet Parade.  (D75, P. 190)",Cinema and Theatre,Que viva Mexico!,The Wet Parade;Upton Sinclair;Metro-Goldwyn-Mayer;Que viva Mexico!,,1,20
Cinema,521,1931-10-28,,1931,"Upton Sinclair  assures  Eisenstein  that  he is trying to  raise  new money, tell him to focus on most essential recordings","Sinclair  assures  Eisenstein  that  he is trying to  raise  new money. In the meantime, he should confine himself to the most essential recordings.",Cinema and Theatre,Que viva Mexico!,Upton Sinclair;Que viva Mexico!,,1,20
Cinema,522,1931-11-00,,1931,Monosson is called back to Moscow durng filming of shooting of Que viva Mexico!,Monosson is called back to Moscow. V. F. Smirnov takes his place,Cinema and Theatre,Que viva Mexico!,Monosson;V. F. Smirnov;Que viva Mexico!,,1,20
Cinema,523,1931-11-02,,1931,Recordings for the epilogue at the celebrations of the Day of the Dead,"Recordings for the epilogue at the celebrations of the Day of the Dead. ""On  this  day [...]  everything  is  decorated  with the  symbols  of death, especially with skulls [...] And then the masks! Who would not put on the cardboard mask of death on this day? Who would not dance, the laughing face hidden behind the mask? [...] All of them - the good as well as the bad, the exploited as well as the exploiters, the bearers of life as well as the knights of death - they are all equal in this carnival hustle and bustle, they all hide behind the white, teeth breaking cardboard mask of the skull. But in the moment when the whirl reaches its climax, it suddenly breaks off: the masks are torn off, one  after the  other the  heads  of the  peons,  the  matadors,  the workers [...] exuberant life radiates from the coal black eyes... With a quick movement of the hand also [the masks of all those who in our film have played a negative role] are pulled down ...But these are not just the carnival masks made of cardboard, this is much more! Other masks fall with them, because under [their] cardboard masks are not the faces of living people, but ... real skulls.  [...]  These  are  corpses. The common  corpse  of  the socially doomed class.",Cinema and Theatre,Que viva Mexico!,Day of the Dead;Que viva Mexico!,,1,20
Cinema,524,1931-11-03,,1931,Amkino decalres its final investment amount ,Amkino declares in a final agreement to provide 5000 of the 25 000 dollars for the shooting.,Cinema and Theatre,Que viva Mexico!,Amkino;Que viva Mexico!,,1,20
Cinema,525,1931-11-11,,1931,Kimborough advises Upton Sinclair not to show A. Zukor shots from Que viva Mexico!,Kimborough  advises  Sinclair  not to  show  A. Zukor the uncut material. It is better to wait for the outcome of his (Kimboroughs) negotiations with the Paramount New York office.,Cinema and Theatre,Que viva Mexico!,Hunter S. Kimborough;Upton Sinclair;A. Zukor;Que viva Mexico!,,1,20
Cinema,526,1931-11-13,,1931,"Upton Sinclair tells Eisenstein he has not been able to find more donors, instructs him on ways to work with limited finances. ",Sinclair tells Eisenstein that he has not been able to find more donors. For the shooting he still had 6000 dollars at his disposal. Eisenstein should finish the episodes he started and drop the Soldadera part.,Cinema and Theatre,Que viva Mexico!,Soldadera;Upton Sinclair;Que viva Mexico!,,1,20
Cinema,527,1931-11-00,,1931,Eisenstein makes serious accusations against Kimborough,"Eisenstein makes serious accusations against Kimborough. He is said to be drunk most of the time and roams brothels  and  casinos. Communication  with  him  was  only possible through Aleksandrov. Is outraged by a  resentation of scenes he has not yet seen and an article by Edmund Wilson in the New Republic.  He agrees with Paramount as a negotiating partner,  but  MGM  should  only  be  contacted  in  an  extreme emergency.  ",Cinema and Theatre,Que viva Mexico!,Hunter S. Kimborough;Edmund Wilson;New Republic;Grigori Aleksandrov;Metro-Goldwyn-Mayer;Que viva Mexico!,,1,20
Biography,528,1931-11-15,,1931,Eisenstein films the president of Mexico with official order while Kimborough complains about him to Upton Sinclair ,"Eisenstein films the president of Mexico with official order. Kimborough to Sinclair: Eisenstein ""is terribly obstinate and does only what he wants to do, only to make his greatest film, without regard for the wishes of the financiers."" He tells of plans to make his own film with Tissé in Louisiana and Mexico.",Biography and Personality;Cinema and Theatre,Que viva Mexico!,Hunter S. Kimborough;Upton Sinclair;Eduard Tissé;Que viva Mexico!,,20,20
Cinema,529,1931-11-16,,1931,Sinclair tells him importance of press screenings to raise funds. Reports of further contacts with Metro-Goldwyn-Mayer,Sinclair tells Eisenstein that the press screenings are necessary to raise funds. Reports of further contacts with MGM. ,Cinema and Theatre,Que viva Mexico!,Metro-Goldwyn-Mayer;Upton Sinclair;Que viva Mexico!,,1,20
Biography,530,1931-11-19,,1931,Censorship problems with the Mexican Consulate in Los Angeles,Censorship problems with the Mexican Consulate in Los Angeles. ,Biography and Personality,Que viva Mexico!,Censorship;Que viva Mexico!,,20,20
Biography,531,1931-11-21,,1931,Writes to  Sinclair  that  the  Mexican  consulate should  not  exercise  censorship.,"Eisenstein  writes  Sinclair that the Mexican consulate should not exercise censorship.Stalins telegram to Sinclair: ""Eisenstein has lost the trust of his comrades in the Soviet Union Stop He is considered a deserter who has broken with his country Stop Fear that our people may soon have no interest in him"". ",Biography and Personality,Que viva Mexico!,Censorship;Upton Sinclair;Stalin;Que viva Mexico!,,20,20
